,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
8642109,0.183125887372,0.000314134116605,1.74422052529e-07,1.74422052529e-07,1.74422052529e-07,0.121886304729,1.74422052529e-07,0.0175644751117,1.74422052529e-07,1.74422052529e-07,1.74422052529e-07,1.74422052529e-07,1.74422052529e-07,0.122863068223,0.130206236635,1.74422052533e-07,1.74422052529e-07,0.000610651605904,0.0100294424425,0.413397881121
11542380,0.0276211929635,6.13790648286e-07,0.00847092473699,6.13790648286e-07,6.13790648286e-07,6.13790648286e-07,6.13790648286e-07,0.0105578129412,0.390801119554,0.00270129264311,6.13790648285e-07,0.137612477136,0.00994402229288,0.0859926836155,0.288973251004,0.025657062889,0.00276267170793,6.13790648285e-07,6.13790648285e-07,0.00890057819079
372104,0.0134928161418,0.0458751122779,0.00927155253835,0.00397087906369,1.92751762715e-07,0.0207981079487,1.92751762715e-07,0.0344063823964,0.00194698555518,0.000424246629735,1.92751762715e-07,0.0028143684874,0.351868535588,0.139070589551,0.371933994086,0.00179278414501,1.92751762715e-07,1.92751762715e-07,1.92751762715e-07,0.00233248908061
8637315,0.00401311594362,0.0103347149234,0.00318855955496,2.74852129554e-07,2.74852129554e-07,0.167165340047,2.74852129554e-07,0.0770413267662,2.74852129554e-07,2.74852129554e-07,2.74852129554e-07,2.74852129554e-07,0.0145399525056,0.184068746015,0.257289353328,2.74852129554e-07,0.189538303393,2.74852129554e-07,2.74852129554e-07,0.0928178390026
11561066,0.0140262037267,0.446624270554,5.63278732848e-07,5.63278732848e-07,5.63278732848e-07,5.63278732848e-07,0.00140876011085,0.0301923033594,0.0122800396548,5.63278732848e-07,0.00957630173715,0.00191571097042,0.0108718428227,0.0408945992835,0.0439926323142,0.0107028592028,5.63278732848e-07,0.0245595160309,0.00721053105919,0.345741049501
8586070,0.00979218258236,0.0141702719102,0.0287967900589,0.000647525577908,6.16632299693e-08,6.16632299693e-08,6.16632299693e-08,0.282312827432,0.0018622912083,0.00836159564707,6.16632299693e-08,6.16632299693e-08,0.617877958602,0.0196336340855,0.0118640671093,0.000308377813077,6.16632299693e-08,6.16632299693e-08,6.16632299693e-08,0.00437198466805
1499991,0.0106628843668,0.0238149172414,0.00751637765871,0.0012842251073,6.08608647598e-08,6.08608647598e-08,0.0120748564292,6.08608647598e-08,0.0173210629715,0.00454028137195,0.903570889518,0.011995737305,0.000389570395328,0.00157635725815,6.08608647723e-08,0.000206987801048,0.000742563410935,0.00370040143826,0.000578239076083,2.44052067687e-05
11679631,0.00933675905667,0.125899252375,3.56351248298e-07,3.56351248298e-07,3.56351248298e-07,3.56351248298e-07,3.56351248298e-07,0.0343169815624,0.0479295992474,0.00584451682334,3.56351248298e-07,0.013042812039,0.0358136568052,0.263557739593,0.440913755871,0.00242354483968,0.00833897556143,0.000107261725738,3.56351248298e-07,0.0124726500417
9733144,3.7110984109e-07,0.178133094833,3.71109841091e-07,0.000260147998605,3.7110984109e-07,3.7110984109e-07,3.71109841091e-07,0.0433831115334,3.71109841099e-07,3.7110984109e-07,3.7110984109e-07,0.000111704062168,0.263080137459,0.254952831939,0.260074147746,3.71109841091e-07,3.71109841091e-07,3.71109841091e-07,3.71109841091e-07,3.71109841099e-07
IA685,0.00708774618833,0.39565907598,0.000403639380913,2.88108052044e-07,2.88108052044e-07,2.88108052044e-07,0.0124177451511,2.88108052044e-07,2.88108052044e-07,2.88108052044e-07,0.28156828737,0.187155278716,0.0104009887868,0.0216372028165,0.0175748792827,0.0175460684775,2.88108052044e-07,0.00616580042179,0.0315481198069,0.0108331508649
